"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Sentiment indicators - monthly data"	"ei_bssi_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1980-01"	"2024-03"	130379
"                    Services - monthly data"	"ei_bsse_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1988-01"	"2024-03"	125896
"                    Services - quarterly data"	"ei_bsse_q_r2"	"dataset"	"27.03.2024"	"30.01.2024"	"2001-Q2"	"2024-Q1"	32624
"                    Euro-zone Business Climate Indicator - monthly data"	"ei_bsci_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1985-01"	"2024-03"	471
"                    Financial services - monthly data"	"ei_bsfs_m"	"dataset"	"27.03.2024"	"21.12.2023"	"2006-04"	"2023-03"	9792
"                    Financial services - quarterly data"	"ei_bsfs_q"	"dataset"	"27.03.2024"	"21.12.2023"	"2007-Q3"	"2023-Q1"	9072
"                    Employment expectations indicator"	"ei_bsee_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1980-01"	"2024-03"	55262
"            Consumer prices"	"ei_cp"	"folder"	" "	" "	" "	" "	
"                Harmonised index of consumer prices - monthly data"	"ei_cphi_m"	"table"	"03.04.2024"	"03.04.2024"	"1996-01"	"2024-03"	955736
"            Housing price statistics"	"ei_hp"	"folder"	" "	" "	" "	" "	
"                House price index (2015 = 100) - quarterly data"	"ei_hppi_q"	"table"	"04.04.2024"	"04.04.2024"	"2005-Q1"	"2023-Q4"	7479
"            Industry, trade and services"	"ei_is"	"folder"	" "	" "	" "	" "	
"                Industry index by NACE Rev. 2 activity - monthly data"	"ei_isin_m"	"table"	"05.04.2024"	"05.04.2024"	"1980-01"	"2024-02"	2673335
"                Industry growth rates by NACE Rev. 2 activity - monthly data"	"ei_isir_m"	"table"	"05.04.2024"	"05.04.2024"	"1980-01"	"2024-02"	733191
"                Industry index by NACE Rev. 2 activity - quarterly data"	"ei_isind_q"	"table"	"04.04.2024"	"04.04.2024"	"1989-Q4"	"2023-Q4"	664951
"                Construction index by NACE Rev. 2 activity - monthly data"	"ei_isbu_m"	"table"	"05.04.2024"	"05.04.2024"	"1980-01"	"2024-02"	172428
"                Construction growth rates by NACE Rev. 2 activity - monthly data"	"ei_isbr_m"	"table"	"05.04.2024"	"05.04.2024"	"1980-01"	"2024-02"	92389
"                Construction index by NACE Rev. 2 activity - quarterly data"	"ei_isbu_q"	"table"	"05.04.2024"	"05.04.2024"	"1980-Q1"	"2023-Q4"	74372
"                Retail trade index by NACE Rev. 2 activity - monthly data"	"ei_isrt_m"	"table"	"05.04.2024"	"05.04.2024"	"1991-01"	"2024-02"	557162
"                Retail trade growth rates by NACE Rev. 2 activity - monthly data"	"ei_isrr_m"	"table"	"05.04.2024"	"05.04.2024"	"1991-01"	"2024-02"	256773
"                Retail trade index by NACE Rev. 2 activity - quarterly data"	"ei_isrt_q"	"table"	"04.04.2024"	"04.04.2024"	"1989-Q4"	"2023-Q4"	14494
"                Turnover in services index - quarterly data"	"ei_isset_q"	"table"	"05.04.2024"	"05.04.2024"	"1994-Q1"	"2023-Q4"	61251
"                Turnover in services growth rates by NACE Rev. 2 activity - quarterly data"	"ei_isse_q"	"table"	"05.04.2024"	"05.04.2024"	"1994-Q1"	"2023-Q4"	24473
"                Service producer prices index - quarterly data"	"ei_isppi_q"	"table"	"05.04.2024"	"05.04.2024"	"1996-Q1"	"2023-Q4"	15144
"                Service producer prices growth rates - quarterly data"	"ei_isppe_q"	"table"	"05.04.2024"	"05.04.2024"	"1996-Q1"	"2023-Q4"	19147
"                Energy - monthly data"	"ei_isen_m"	"table"	"04.04.2024"	"04.04.2024"	"2008-01"	"2024-02"	76877
"                Production in services growth rates by NACE Rev.2 activity - monthly data"	"ei_isspr_m"	"table"	"05.04.2024"	"05.04.2024"	"2000-02"	"2024-01"	34044
"                Production in services index by NACE Rev.2 activity - monthly data"	"ei_issp_m"	"table"	"05.04.2024"	"05.04.2024"	"2000-01"	"2024-01"	50787
"                Production in services index by NACE Rev.2 activity - quarterly data"	"ei_issp_q"	"table"	"05.04.2024"	"05.04.2024"	"2000-Q1"	"2023-Q4"	10924
"            International trade"	"ei_et"	"folder"	" "	" "	" "	" "	
"                EU27 (from 2020) international trade - monthly data"	"ei_eteu27_2020_m"	"table"	"18.03.2024"	"18.03.2024"	"1999-01"	"2024-01"	6217382
"                Euro area international trade - monthly data"	"ei_etea_m"	"table"	"18.03.2024"	"18.03.2024"	"1999-01"	"2024-01"	1033280
"            Labour market"	"ei_lm"	"folder"	" "	" "	" "	" "	
"                Unemployment (1 000) - monthly data"	"ei_lmhu_m"	"table"	"04.04.2024"	"04.04.2024"	"1983-01"	"2024-03"	237647
"                Unemployment rate (%) - monthly data"	"ei_lmhr_m"	"table"	"04.04.2024"	"04.04.2024"	"1983-01"	"2024-03"	234181
"                Labour cost index, nominal value - quarterly data"	"ei_lmlc_q"	"table"	"19.03.2024"	"19.03.2024"	"1996-Q1"	"2023-Q4"	2102669
"                Job vacancy rate - quarterly data"	"ei_lmjv_q_r2"	"table"	"18.03.2024"	"18.03.2024"	"2001-Q1"	"2023-Q4"	91738
"            Monetary and financial indicators"	"ei_mf"	"folder"	" "	" "	" "	" "	
"                Interest rates - monthly data"	"ei_mfir_m"	"table"	"04.04.2024"	"04.04.2024"	"1980-01"	"2024-03"	20920
"                Euro/Ecu exchange rates - monthly data"	"ei_mfrt_m"	"table"	"03.04.2024"	"03.04.2024"	"1999-01"	"2024-03"	9926
"                Effective exchange rates indices - monthly data"	"ei_mfef_m"	"table"	"16.03.2024"	"16.03.2024"	"1999-01"	"2024-01"	54180
"            National accounts"	"ei_qna"	"folder"	" "	" "	" "	" "	
"                Main GDP aggregates"	"ei_namq_10_ma"	"folder"	" "	" "	" "	" "	
"                    GDP and main components (output, expenditure and income)"	"namq_10_gdp"	"dataset"	"05.04.2024"	"26.01.2024"	"1975-Q1"	"2023-Q4"	6419208
"                    Final consumption aggregates"	"namq_10_fcs"	"dataset"	"05.04.2024"	"30.01.2024"	"1978-Q1"	"2023-Q4"	656750
"                    Exports and imports by Member States of the EU/third countries"	"namq_10_exi"	"dataset"	"05.04.2024"	"14.02.2024"	"1980-Q1"	"2023-Q4"	539312
"                Basic breakdowns of main GDP aggregates and employment (by industry and assets)"	"ei_namq_10_bbr"	"folder"	" "	" "	" "	" "	
"                    Gross value added and income A*10 industry breakdowns"	"namq_10_a10"	"dataset"	"05.04.2024"	"30.01.2024"	"1975-Q1"	"2023-Q4"	4919020
"                    Gross fixed capital formation with AN_F6 asset breakdowns"	"namq_10_an6"	"dataset"	"05.04.2024"	"30.01.2024"	"1978-Q1"	"2023-Q4"	2184244
"                    Employment A*10 industry breakdowns"	"namq_10_a10_e"	"dataset"	"03.04.2024"	"29.01.2024"	"1975-Q1"	"2023-Q4"	3332612
"                        Employment by NACE Rev.2 - percentage change Q/Q-1"	"tec00108"	"table"	"03.04.2024"	"03.04.2024"	"2021-Q1"	"2023-Q4"	4896
"                        Employment by NACE Rev.2 - thousand persons"	"tec00109"	"table"	"03.04.2024"	"03.04.2024"	"2021-Q1"	"2023-Q4"	4896
"                Quarterly sector accounts (ESA 2010)"	"ei_nasq_10"	"folder"	" "	" "	" "	" "	
"                    Key indicators - quarterly data"	"nasq_10_ki"	"dataset"	"26.01.2024"	"26.01.2024"	"1980-Q1"	"2023-Q3"	24485
"                    Non-financial transactions - quarterly data"	"nasq_10_nf_tr"	"dataset"	"01.02.2024"	"10.01.2024"	"1980-Q1"	"2023-Q3"	3337797
"                GDP and main components (output, expenditure and income)"	"nama_10_gdp"	"dataset"	"05.04.2024"	"15.01.2024"	"1975"	"2023"	879442
"                    Imports of goods and services in % of GDP"	"tet00004"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	1431
"                    Real GDP growth rate - volume"	"tec00115"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	939
"                    Goods and services, imports and exports"	"tec00110"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	970
"                    Compensation of employees"	"tec00013"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	923
"                    Gross fixed capital formation (investments)"	"tec00011"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	970
"                    Final consumption expenditure of general government"	"tec00010"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	970
"                    Final consumption expenditure of households and non-profit institutions serving households"	"tec00009"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	970
"                    Gross domestic product at market prices"	"tec00001"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	962
"                    Exports of goods and services in % of GDP"	"tet00003"	"table"	"05.04.2024"	"05.04.2024"	"2012"	"2023"	1431
"            Euro indicators - vintages of data"	"euroind_vtg"	"folder"	" "	" "	" "	" "	
"                Industrial production - monthly data - vintages from 2021 onwards"	"ei_is_m_vtg"	"dataset"	"02.04.2024"	"02.04.2024"	"1980-01"	"2023-12"	1449971
"                Industrial production - monthly data - vintages from 2001 to 2020"	"ei_is_m_vtgfix"	"dataset"	"26.03.2024"	"26.03.2024"	"1980-01"	"2020-12"	5303440
"                Unemployment - monthly data - vintages from 2021 onwards"	"ei_lm_m_vtg"	"dataset"	"02.04.2024"	"02.04.2024"	"1983-01"	"2024-01"	854605
"                Unemployment - monthly data - vintages from 2001 to 2020"	"ei_lm_m_vtgfix"	"dataset"	"26.03.2024"	"26.03.2024"	"1980-01"	"2020-11"	3093318
"                Gross domestic product (GDP) - quarterly  data - vintages from 2019 onwards"	"ei_na_q_vtg"	"dataset"	"26.03.2024"	"26.03.2024"	"1995-Q1"	"2023-Q4"	26050
"        Regional statistics by NUTS classification"	"reg"	"folder"	" "	" "	" "	" "	
"            Regional agriculture statistics"	"reg_agr"	"folder"	" "	" "	" "	" "	
"                Agri-environmental indicators"	"reg_aei"	"folder"	" "	" "	" "	" "	
"                    Estimated soil erosion by water, by erosion level, land cover and NUTS 3 regions"	"aei_pr_soiler"	"dataset"	"18.12.2019"	"10.01.2024"	"2000"	"2016"	392400
"                        Estimated soil loss by water erosion by land cover type"	"tai10"	"table"	"10.01.2024"	"10.01.2024"	"2000"	"2016"	261
"                        Share of landcover types affected by severe erosion"	"tai11"	"table"	"10.01.2024"	"10.01.2024"	"2000"	"2016"	261
"                    Manure storage facilities by NUTS 3 regions"	"aei_fm_ms"	"dataset"	"19.04.2023"	"19.04.2023"	"2000"	"2010"	31658
"                Structure of agricultural holdings"	"reg_ef"	"folder"	" "	" "	" "	" "	
"                    Structure of agricultural holdings 2010"	"reg_ef_2010"	"folder"	" "	" "	" "	" "	
"                        Key farm variables"	"reg_ef_kv"	"folder"	" "	" "	" "	" "	
"                            Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions"	"ef_kvaareg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	225387
"                                Agricultural holdings by agricultural area"	"tag00001"	"table"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	831
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	291960
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions"	"ef_kvftreg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	215317
"                        Farm land use - Permanent crops, other farmland, irrigation"	"reg_ef_po"	"folder"	" "	" "	" "	" "	
"                            Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_oluaareg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	1595010
"                            Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_oluecsreg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	1866130
"                            Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 regions"	"ef_popermreg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	427965
"                            Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 regions"	"ef_poirrig"	"dataset"	"19.04.2018"	"19.04.2018"	"2005"	"2013"	210039
"                        Overview - farm livestock"	"reg_ef_ols"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_olsaareg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	595241
"                            Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 regions"	"ef_olslsureg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	589665
"                            Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_olsecsreg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	695956
"                        Farm labour force and management"	"reg_ef_molf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 regions"	"ef_olfreg"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	38800
"                            Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mporganic"	"dataset"	"16.01.2017"	"16.01.2017"	"2003"	"2013"	320160
"                            Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mptenure"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	92614
"                            Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_mptenurecs"	"dataset"	"16.01.2017"	"16.01.2017"	"2005"	"2013"	109368
"                    Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h"	"folder"	" "	" "	" "	" "	
"                        Overview of agricultural holdings"	"reg_ef_ov"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_ov_kvaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	250844
"                            Key variables by type of farming (2-digit) and NUTS 2 regions"	"ef_ov_kvftreg"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	133474
"                        Land use"	"reg_ef_lu"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ovcropaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1969784
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 regions"	"ef_lu_ovcropesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1959788
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 regions"	"ef_lu_pcreg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	492194
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ofirrig"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	21949
"                        Livestock"	"reg_ef_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions"	"ef_ls_ovaareg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	761128
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions"	"ef_ls_ovlsureg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	759761
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions"	"ef_ls_ovesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	757142
"                        Special interest topics"	"reg_ef_so"	"folder"	" "	" "	" "	" "	
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 regions"	"ef_so_mporg"	"dataset"	"17.04.2009"	"21.12.2023"	"2000"	"2007"	98860
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_so_mptenure"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	111860
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_so_lfaa"	"dataset"	"14.04.2009"	"21.12.2023"	"1990"	"2007"	1714420
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 regions"	"ef_so_lfesu"	"dataset"	"14.04.2009"	"21.12.2023"	"1990"	"2007"	1676077
"                        Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h_"	"folder"	" "	" "	" "	" "	
"                            Structure of agricultural holdings by NUTS 3 regions - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"21.12.2023"	"2000"	"2007"	615432
"                Agricultural production"	"reg_apro"	"folder"	" "	" "	" "	" "	
"                    Animal populations by NUTS 2 regions"	"agr_r_animal"	"dataset"	"26.09.2023"	"26.09.2023"	"1977"	"2023"	408945
"                        Animal populations by NUTS 2 regions"	"tgs00045"	"table"	"26.09.2023"	"10.01.2024"	"2012"	"2023"	10692
"                    Production of cow's milk on farms by NUTS 2 regions"	"agr_r_milkpr"	"dataset"	"02.10.2023"	"02.10.2023"	"1995"	"2022"	11124
"                        Production of cow's milk on farms by NUTS 2 regions"	"tgs00046"	"table"	"02.10.2023"	"10.01.2024"	"2011"	"2022"	3593
"                Regional agriculture statistics"	"reg_agr_"	"folder"	" "	" "	" "	" "	
"                    Economic accounts for agriculture by NUTS 2 regions"	"agr_r_accts"	"dataset"	"22.02.2024"	"22.02.2024"	"1980"	"2022"	4232840
"            Regional demographic statistics"	"reg_dem"	"folder"	" "	" "	" "	" "	
"                Population and area"	"reg_dempoar"	"folder"	" "	" "	" "	" "	
"                    Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"15.02.2024"	"02.02.2024"	"1990"	"2023"	4389618
"                        Population on 1 January by NUTS 2 region"	"tgs00096"	"table"	"15.02.2024"	"15.02.2024"	"2012"	"2023"	3789
"                    Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"25.08.2020"	"25.08.2020"	"1990"	"2015"	70822
"                    Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"26.03.2024"	"10.01.2024"	"1990"	"2022"	53537
"                        Population density"	"tps00003"	"table"	"26.03.2024"	"26.03.2024"	"2011"	"2022"	442
"                        Population density by NUTS 2 region"	"tgs00024"	"table"	"26.03.2024"	"26.03.2024"	"2011"	"2022"	3708
"                    Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"08.03.2024"	"02.02.2024"	"1990"	"2023"	965253
"                    Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"08.03.2024"	"02.02.2024"	"2014"	"2023"	1241287
"                    Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"08.03.2024"	"02.02.2024"	"1990"	"2023"	673932
"                    Population structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"08.03.2024"	"12.02.2024"	"1990"	"2023"	673994
"                    Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"08.03.2024"	"12.02.2024"	"2014"	"2023"	885993
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"26.03.2024"	"26.03.2024"	"2000"	"2023"	451465
"                        Population change by NUTS 2 region - Crude rates of total change, natural change and net migration plus adjustment"	"tgs00099"	"table"	"26.03.2024"	"26.03.2024"	"2011"	"2022"	11081
"                Fertility"	"reg_demfer"	"folder"	" "	" "	" "	" "	
"                    Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"22.03.2024"	"22.02.2024"	"1990"	"2022"	56399
"                    Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"22.03.2024"	"22.02.2024"	"2013"	"2022"	222607
"                    Live births by mother's age and NUTS 2 region"	"demo_r_fagec"	"dataset"	"22.03.2024"	"22.02.2024"	"1990"	"2022"	507705
"                    Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"22.03.2024"	"22.02.2024"	"1990"	"2022"	460933
"                        Total fertility rate by NUTS 2 region"	"tgs00100"	"table"	"22.03.2024"	"22.03.2024"	"2011"	"2022"	3595
"                    Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"22.03.2024"	"22.02.2024"	"1990"	"2022"	38062
"                    Fertility indicators by NUTS 3 region"	"demo_r_find3"	"dataset"	"22.03.2024"	"22.02.2024"	"2013"	"2022"	53305
"                Mortality"	"reg_demmor"	"folder"	" "	" "	" "	" "	
"                    Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"14.03.2024"	"14.03.2024"	"1990"	"2022"	56563
"                    Deaths by week, sex, 5-year age group and NUTS 3 region"	"demo_r_mweek3"	"dataset"	"27.03.2024"	"27.03.2024"	"2000-W01"	"2024-W10"	75008988
"                    Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"14.03.2024"	"14.03.2024"	"2013"	"2022"	1091574
"                    Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"25.03.2024"	"14.03.2024"	"1990"	"2022"	3982068
"                    Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"14.03.2024"	"14.03.2024"	"1990"	"2022"	12174
"                    Infant mortality rates by NUTS 2 region"	"demo_r_minfind"	"dataset"	"14.03.2024"	"14.03.2024"	"1990"	"2022"	12707
"                    Life table by age, sex and NUTS 2 region"	"demo_r_mlife"	"dataset"	"14.03.2024"	"14.03.2024"	"1990"	"2022"	25141291
"                    Life expectancy by age, sex and NUTS 2 region"	"demo_r_mlifexp"	"dataset"	"14.03.2024"	"07.03.2024"	"1990"	"2022"	3218795
"                        Life expectancy at birth by sex and NUTS 2 region"	"tgs00101"	"table"	"14.03.2024"	"14.03.2024"	"2011"	"2022"	10818
"                Census 2011 round"	"reg_cens_11r"	"folder"	" "	" "	" "	" "	
"                    Data on persons"	"cens_11rdp"	"folder"	" "	" "	" "	" "	
"                        Population structure"	"cens_11rstr"	"folder"	" "	" "	" "	" "	
"                            Population by single year of age and NUTS 3 region"	"cens_11ag_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	722521
"                        Population by family characteristics"	"cens_11rfc"	"folder"	" "	" "	" "	" "	
"                            Population by marital status and NUTS 3 region"	"cens_11ms_r3"	"dataset"	"01.04.2019"	"01.04.2019"	"2011"	"2011"	1403952
"                            Population by family status and NUTS 3 region"	"cens_11fs_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	1413537
"                        Population by employment characteristics"	"cens_11rec"	"folder"	" "	" "	" "	" "	
"                            Population by current activity status, educational attainment level and NUTS 2 region"	"cens_11aed_r2"	"dataset"	"01.04.2019"	"01.04.2019"	"2011"	"2011"	2425928
"                            Population by current activity status, occupation and NUTS 2 region"	"cens_11ao_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	3172833
"                            Population by current activity status, NACE Rev. 2 activity and NUTS 2 region"	"cens_11an_r2"	"dataset"	"23.07.2015"	"31.01.2024"	"2011"	"2011"	3110101
"                            Population by status in employment, occupation and NUTS 2 region"	"cens_11empo_r2"	"dataset"	"01.04.2019"	"01.04.2019"	"2011"	"2011"	3675197
"                            Population by status in employment, NACE Rev. 2 activity and NUTS 2 region"	"cens_11empn_r2"	"dataset"	"22.07.2015"	"31.01.2024"	"2011"	"2011"	3694015
"                        Population by migration characteristics"	"cens_11rmc"	"folder"	" "	" "	" "	" "	
"                            Population by country of citizenship at national level"	"cens_11ctz_n"	"dataset"	"26.08.2015"	"03.01.2024"	"2011"	"2011"	584812
"                            Population by group of citizenship, occupation and NUTS 2 region"	"cens_11ctzo_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	789038
"                            Population by country of birth at national level"	"cens_11cob_n"	"dataset"	"26.08.2015"	"03.01.2024"	"2011"	"2011"	577992
"                            Population by group of country of birth, educational attainment level and NUTS 2 region"	"cens_11cobe_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	705614
"                            Population by group of country of birth, current activity status and NUTS 2 region"	"cens_11coba_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	424630
"                            Population by group of country of birth, occupation and NUTS 2 region"	"cens_11cobo_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	788639
"                            Population by period of arrival in the country, country of birth and NUTS 2 region"	"cens_11arco_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	111921
"                    Data on families and households"	"cens_11rdf"	"folder"	" "	" "	" "	" "	
"                        Families by type, size and NUTS 3 region"	"cens_11fts_r3"	"dataset"	"23.04.2015"	"10.01.2024"	"2011"	"2011"	495810
"                        Private households by type, tenure status and NUTS 2 region"	"cens_11htts_r2"	"dataset"	"23.04.2015"	"10.01.2024"	"2011"	"2011"	57341
"                    Data on dwellings and housing arrangements"	"cens_11rdd"	"folder"	" "	" "	" "	" "	
"                        Population by housing arrangement and NUTS 2 region"	"cens_11hou_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	76991
